sample_id	tumor_type	num_ssms	num_sims
1	Bladder-TCC	25389	645
2	Breast-AdenoCA	9145	684
3	Bladder-TCC	13582	507
4	Breast-AdenoCA	7876	462
5	Ovary-AdenoCA	6575	415
6	Ovary-AdenoCA	7280	409
7	Ovary-AdenoCA	6002	349
8	Ovary-AdenoCA	6505	688
9	Ovary-AdenoCA	18394	543
10	Ovary-AdenoCA	7545	290
11	Ovary-AdenoCA	9246	646
12	Ovary-AdenoCA	4135	249
13	Ovary-AdenoCA	4916	409
14	Ovary-AdenoCA	6466	416
15	Ovary-AdenoCA	6805	620
16	Ovary-AdenoCA	17299	1441
17	Ovary-AdenoCA	6000	534
18	Ovary-AdenoCA	5584	265
19	Ovary-AdenoCA	3771	166
20	Ovary-AdenoCA	10119	504
21	Ovary-AdenoCA	7212	481
22	Ovary-AdenoCA	7241	423
23	Ovary-AdenoCA	6751	407
24	Ovary-AdenoCA	7164	331
25	Ovary-AdenoCA	5312	397
26	Ovary-AdenoCA	2170	210
27	Ovary-AdenoCA	6750	445
28	Ovary-AdenoCA	6934	575
29	Ovary-AdenoCA	12331	607
30	Ovary-AdenoCA	11089	946
31	Ovary-AdenoCA	8189	306
32	Ovary-AdenoCA	9161	586
33	Ovary-AdenoCA	17346	1496
34	Ovary-AdenoCA	7825	518
35	Ovary-AdenoCA	8643	618
36	Ovary-AdenoCA	1965	110
37	Ovary-AdenoCA	6494	588
38	Ovary-AdenoCA	7551	517
39	Ovary-AdenoCA	13552	1217
40	Ovary-AdenoCA	6585	443
41	Ovary-AdenoCA	15254	907
42	Ovary-AdenoCA	5495	250
43	Ovary-AdenoCA	13975	563
44	Ovary-AdenoCA	12300	495
45	Ovary-AdenoCA	7420	606
46	Ovary-AdenoCA	5096	334
47	Ovary-AdenoCA	14054	755
48	Ovary-AdenoCA	15727	670
49	Ovary-AdenoCA	16352	895
50	Ovary-AdenoCA	19705	2127
51	Ovary-AdenoCA	10411	731
52	Ovary-AdenoCA	10569	758
53	Ovary-AdenoCA	13505	1127
54	Ovary-AdenoCA	10789	359
55	Ovary-AdenoCA	14168	896
56	Ovary-AdenoCA	14959	957
57	Ovary-AdenoCA	7430	1001
58	Ovary-AdenoCA	19941	2013
59	Ovary-AdenoCA	2914	208
60	Ovary-AdenoCA	6923	712
61	Ovary-AdenoCA	5088	234
62	Ovary-AdenoCA	6688	537
63	Ovary-AdenoCA	8478	377
64	Ovary-AdenoCA	5203	387
65	Ovary-AdenoCA	5694	296
66	Ovary-AdenoCA	6398	537
67	Ovary-AdenoCA	7013	338
68	Ovary-AdenoCA	40764	20910
69	Ovary-AdenoCA	8847	910
70	Ovary-AdenoCA	7345	397
71	Ovary-AdenoCA	4435	264
72	Ovary-AdenoCA	10148	447
73	Ovary-AdenoCA	10319	587
74	Panc-Endocrine	1143	45
75	Panc-Endocrine	970	51
76	Panc-Endocrine	1792	120
77	Panc-Endocrine	2389	169
78	Panc-Endocrine	3360	182
79	Panc-Endocrine	4629	171
80	Panc-Endocrine	3142	137
81	Panc-Endocrine	3485	169
82	Panc-Endocrine	3300	192
83	Panc-Endocrine	2716	175
84	Panc-Endocrine	2698	137
85	Panc-Endocrine	1010	23
86	Panc-Endocrine	5252	236
87	Panc-Endocrine	1191	53
88	Panc-Endocrine	539	29
89	Panc-Endocrine	1724	76
90	Panc-Endocrine	7560	198
91	Panc-Endocrine	1001	49
92	Panc-Endocrine	9227	876
93	Panc-Endocrine	4092	166
94	Prost-AdenoCA	3668	301
95	Prost-AdenoCA	5190	363
96	Prost-AdenoCA	3239	364
97	Prost-AdenoCA	5213	449
98	Prost-AdenoCA	1773	118
99	Prost-AdenoCA	3381	413
100	Prost-AdenoCA	2721	221
101	Prost-AdenoCA	3314	229
102	Kidney-RCC	3514	335
103	Kidney-RCC	7391	780
104	Kidney-RCC	4491	456
105	Kidney-RCC	6269	723
106	Kidney-RCC	1111	210
107	Kidney-RCC	11036	1916
108	Kidney-RCC	7796	1304
109	Kidney-RCC	9640	1199
110	Kidney-RCC	9478	1495
111	Kidney-RCC	7358	1031
112	Kidney-RCC	5212	710
113	Kidney-RCC	7765	1379
114	Kidney-RCC	4630	687
115	Kidney-RCC	5196	497
116	Kidney-RCC	5485	519
117	Kidney-RCC	27779	13771
118	Kidney-RCC	8172	775
119	Kidney-RCC	3914	587
120	Kidney-RCC	4963	722
121	Kidney-RCC	4472	620
122	Kidney-RCC	36501	1293
123	Kidney-RCC	5005	579
124	Kidney-RCC	19447	1219
125	Kidney-RCC	7241	874
126	Kidney-RCC	5058	459
127	Kidney-RCC	6013	684
128	Kidney-RCC	2462	302
129	Kidney-RCC	5417	776
130	Kidney-RCC	12602	936
131	Kidney-RCC	7439	1164
132	Kidney-RCC	11077	1139
133	Kidney-RCC	4350	510
134	Kidney-RCC	5954	706
135	Kidney-RCC	7009	1253
136	Kidney-RCC	6282	899
137	Kidney-RCC	7511	882
138	Kidney-RCC	3548	567
139	Kidney-RCC	7577	1321
140	Kidney-RCC	6412	862
141	Kidney-RCC	7805	891
142	Kidney-RCC	9168	1604
143	Kidney-RCC	3265	409
144	Kidney-RCC	6909	1093
145	Kidney-RCC	4321	738
146	Kidney-RCC	3645	316
147	Kidney-RCC	6142	712
148	Kidney-RCC	5330	486
149	Kidney-RCC	6747	1124
150	Kidney-RCC	4502	518
151	Kidney-RCC	4481	562
152	Kidney-RCC	8862	994
153	Kidney-RCC	2324	194
154	Kidney-RCC	3133	419
155	Kidney-RCC	19531	825
156	Kidney-RCC	7498	844
157	Kidney-RCC	3709	416
158	Kidney-RCC	28606	1386
159	Kidney-RCC	6727	811
160	Kidney-RCC	2078	86
