sample_id	tumor_type	cluster
1	Bladder-TCC	E
2	Breast-AdenoCA	D
3	Bladder-TCC	E
4	Breast-AdenoCA	E
5	Ovary-AdenoCA	D
6	Ovary-AdenoCA	K
7	Ovary-AdenoCA	K
8	Ovary-AdenoCA	D
9	Ovary-AdenoCA	E
10	Ovary-AdenoCA	D
11	Ovary-AdenoCA	D
12	Ovary-AdenoCA	D
13	Ovary-AdenoCA	K
14	Ovary-AdenoCA	D
15	Ovary-AdenoCA	D
16	Ovary-AdenoCA	D
17	Ovary-AdenoCA	D
18	Ovary-AdenoCA	E
19	Ovary-AdenoCA	K
20	Ovary-AdenoCA	D
21	Ovary-AdenoCA	D
22	Ovary-AdenoCA	D
23	Ovary-AdenoCA	D
24	Ovary-AdenoCA	D
25	Ovary-AdenoCA	D
26	Ovary-AdenoCA	K
27	Ovary-AdenoCA	D
28	Ovary-AdenoCA	D
29	Ovary-AdenoCA	D
30	Ovary-AdenoCA	D
31	Ovary-AdenoCA	D
32	Ovary-AdenoCA	D
33	Ovary-AdenoCA	D
34	Ovary-AdenoCA	D
35	Ovary-AdenoCA	D
36	Ovary-AdenoCA	F
37	Ovary-AdenoCA	D
38	Ovary-AdenoCA	D
39	Ovary-AdenoCA	D
40	Ovary-AdenoCA	D
41	Ovary-AdenoCA	D
42	Ovary-AdenoCA	D
43	Ovary-AdenoCA	D
44	Ovary-AdenoCA	D
45	Ovary-AdenoCA	D
46	Ovary-AdenoCA	D
47	Ovary-AdenoCA	D
48	Ovary-AdenoCA	D
49	Ovary-AdenoCA	D
50	Ovary-AdenoCA	D
51	Ovary-AdenoCA	D
52	Ovary-AdenoCA	D
53	Ovary-AdenoCA	D
54	Ovary-AdenoCA	D
55	Ovary-AdenoCA	D
56	Ovary-AdenoCA	C
57	Ovary-AdenoCA	D
58	Ovary-AdenoCA	D
59	Ovary-AdenoCA	K
60	Ovary-AdenoCA	D
61	Ovary-AdenoCA	D
62	Ovary-AdenoCA	K
63	Ovary-AdenoCA	D
64	Ovary-AdenoCA	K
65	Ovary-AdenoCA	D
66	Ovary-AdenoCA	D
67	Ovary-AdenoCA	D
68	Ovary-AdenoCA	J
69	Ovary-AdenoCA	D
70	Ovary-AdenoCA	D
71	Ovary-AdenoCA	F
72	Ovary-AdenoCA	D
73	Ovary-AdenoCA	D
74	Panc-Endocrine	C
75	Panc-Endocrine	D
76	Panc-Endocrine	D
77	Panc-Endocrine	F
78	Panc-Endocrine	D
79	Panc-Endocrine	D
80	Panc-Endocrine	D
81	Panc-Endocrine	D
82	Panc-Endocrine	D
83	Panc-Endocrine	F
84	Panc-Endocrine	F
85	Panc-Endocrine	C
86	Panc-Endocrine	D
87	Panc-Endocrine	D
88	Panc-Endocrine	D
89	Panc-Endocrine	C
90	Panc-Endocrine	A
91	Panc-Endocrine	D
92	Panc-Endocrine	K
93	Panc-Endocrine	D
94	Prost-AdenoCA	K
95	Prost-AdenoCA	K
96	Prost-AdenoCA	F
97	Prost-AdenoCA	K
98	Prost-AdenoCA	D
99	Prost-AdenoCA	K
100	Prost-AdenoCA	K
101	Prost-AdenoCA	D
