sample_id	tumor_type	num_ssms	num_sims	perc_of_mut_sims	perc_CA	perc_CG	perc_CT	perc_TA	perc_TC	perc_TG	perc_1bp_del_A_T	perc_1bp_del_C_G	perc_1bp_ins_A_T	perc_1bp_ins_C_G	perc_noPoly_del_A_T	perc_shortPoly_del_A_T	perc_midSizePoly_del_A_T	perc_longPoly_del_A_T	perc_noPoly_del_C_G	perc_shortPoly_del_C_G	perc_midSizePoly_del_C_G	perc_longPoly_del_C_G	perc_noPoly_ins_A_T	perc_shortPoly_ins_A_T	perc_midSizePoly_ins_A_T	perc_longPoly_ins_A_T	perc_noPoly_ins_C_G	perc_shortPoly_ins_C_G	perc_midSizePoly_ins_C_G	perc_longPoly_ins_C_G	perc_rec_ssms	perc_rec_sims	perc_of_rec_mut_sim	perc_rec_CA	perc_rec_CG	perc_rec_CT	perc_rec_TA	perc_rec_TC	perc_rec_TG	perc_rec_1bp_del_A_T	perc_rec_1bp_del_C_G	perc_rec_1bp_ins_A_T	perc_rec_1bp_ins_C_G
1	Bladder-TCC	25389	645	2.47752938465084	12.1272992240734	29.8318169285911	41.2974122651542	5.27393753200205	9.48836110126433	1.98117294891488	39.832285115304	19.706498951782	36.4779874213836	3.9832285115304	7.89473684210526	39.4736842105263	37.8947368421053	14.7368421052632	36.1702127659574	51.063829787234	11.7021276595745	1.06382978723404	4.02298850574713	18.3908045977011	47.7011494252874	29.8850574712644	36.8421052631579	31.5789473684211	31.5789473684211	0	1.94178581275355	9.92248062015504	11.4901256732496	1.39655732380643	0.7921837866385	3.35717691940868	1.26960418222554	0.58115400581154	1.39165009940358	15.7894736842105	2.12765957446809	17.2413793103448	0
2	Breast-AdenoCA	9145	684	6.95899888086275	23.335155822854	11.2192454893384	27.4794969928923	17.8676872607982	13.4609075997813	6.6375068343357	50.7575757575758	28.7878787878788	17.6767676767677	2.77777777777778	13.4328358208955	34.3283582089552	38.8059701492537	13.4328358208955	52.6315789473684	37.719298245614	7.01754385964912	2.63157894736842	27.1428571428571	8.57142857142857	38.5714285714286	25.7142857142857	63.6363636363636	9.09090909090909	18.1818181818182	9.09090909090909	1.82613449972663	6.4327485380117	20.8530805687204	1.49953139643861	0.389863547758285	4.25785913251094	0.917992656058752	0.568643379366369	0.329489291598023	10.4477611940299	1.75438596491228	17.1428571428571	9.09090909090909
3	Bladder-TCC	13582	507	3.59855206189226	17.2581357679281	23.2660874687086	38.0356353997938	6.69268149020763	10.2488587836843	4.49860108967751	27.6422764227642	23.3062330623306	43.9024390243902	5.14905149051491	18.6274509803922	46.078431372549	24.5098039215686	10.7843137254902	33.7209302325581	52.3255813953488	13.953488372093	0	8.02469135802469	17.9012345679012	40.1234567901235	33.9506172839506	42.1052631578947	36.8421052631579	21.0526315789474	0	2.23825651597703	6.90335305719921	10.3244837758112	1.1518771331058	0.854430379746835	3.92953929539295	2.31023102310231	1.58045977011494	0.654664484451719	7.84313725490196	0	14.1975308641975	5.26315789473684
4	Breast-AdenoCA	7876	462	5.54089709762533	10.5256475368207	30.6627729812087	44.5784662265109	4.40578974098527	7.16099542915185	2.6663280853225	39.937106918239	14.4654088050314	41.5094339622642	4.08805031446541	4.7244094488189	18.1102362204724	36.2204724409449	40.9448818897638	50	36.9565217391304	8.69565217391304	4.34782608695652	6.06060606060606	9.84848484848485	41.6666666666667	42.4242424242424	30.7692307692308	23.0769230769231	46.1538461538462	0	2.55205688166582	17.5324675324675	28.7234042553191	2.65379975874548	0.786749482401656	3.98746795784677	4.32276657060519	0.886524822695035	0	35.4330708661417	8.69565217391304	19.6969696969697	15.3846153846154
5	Ovary-AdenoCA	6575	415	5.93705293276109	19.3764258555133	17.3992395437262	25.7490494296578	13.2319391634981	16.8821292775665	7.36121673003802	45.5223880597015	31.3432835820896	20.1492537313433	2.98507462686567	27.8688524590164	44.2622950819672	24.5901639344262	3.27868852459016	33.3333333333333	61.9047619047619	4.76190476190476	0	29.6296296296296	11.1111111111111	11.1111111111111	48.1481481481481	50	25	25	0	1.59695817490494	1.20481927710843	4.54545454545455	0.863422291993721	0.262237762237762	4.37093916125222	0.689655172413793	0.900900900900901	0.206611570247934	3.27868852459016	0	11.1111111111111	0
6	Ovary-AdenoCA	7280	409	5.31928729353622	17.3351648351648	12.7335164835165	25.3846153846154	13.1043956043956	22.5824175824176	8.85989010989011	23.6363636363636	13.8181818181818	54.1818181818182	8.36363636363636	23.0769230769231	27.6923076923077	36.9230769230769	12.3076923076923	47.3684210526316	42.1052631578947	10.5263157894737	0	6.04026845637584	8.7248322147651	53.6912751677852	31.5436241610738	26.0869565217391	8.69565217391304	56.5217391304348	8.69565217391304	1.96428571428571	8.55745721271394	19.6629213483146	1.82250396196513	0.431499460625674	4.22077922077922	1.78197064989518	0.851581508515815	1.08527131782946	10.7692307692308	2.63157894736842	14.7651006711409	17.3913043478261
7	Ovary-AdenoCA	6002	349	5.49519760667611	15.6947684105298	15.3282239253582	31.1062979006998	9.86337887370876	17.727424191936	10.2799066977674	43.0894308943089	14.6341463414634	38.6178861788618	3.65853658536585	15.0943396226415	28.3018867924528	26.4150943396226	30.188679245283	50	36.1111111111111	11.1111111111111	2.77777777777778	8.42105263157895	1.05263157894737	43.1578947368421	47.3684210526316	44.4444444444444	22.2222222222222	22.2222222222222	11.1111111111111	2.28257247584139	17.1919770773639	30.4568527918782	1.06157112526539	0.217391304347826	4.8205677557579	2.53378378378378	0.93984962406015	1.62074554294976	25.4716981132075	2.77777777777778	28.4210526315789	22.2222222222222
8	Ovary-AdenoCA	6505	688	9.56485471986654	19.185242121445	18.4319754035357	24.7809377401998	12.8516525749424	16.1721752498078	8.57801691006918	45.9016393442623	28.4153005464481	22.9508196721311	2.73224043715847	19.047619047619	44.0476190476191	20.2380952380952	16.6666666666667	51.9230769230769	44.2307692307692	3.84615384615385	0	26.1904761904762	4.76190476190476	23.8095238095238	45.2380952380952	80	20	0	0	1.47578785549577	2.03488372093023	12.7272727272727	1.12179487179487	0.417014178482068	3.78411910669975	0.598086124401914	0.760456273764259	0.537634408602151	9.52380952380952	0	14.2857142857143	0
9	Ovary-AdenoCA	18394	543	2.86740243966837	11.7103403283679	32.7987387191476	27.2262694356855	7.25780145699685	14.4340545830162	6.57279547678591	45.9649122807018	25.6140350877193	24.9122807017544	3.50877192982456	15.2671755725191	32.0610687022901	37.4045801526718	15.2671755725191	45.2054794520548	49.3150684931507	5.47945205479452	0	18.3098591549296	8.45070422535211	50.7042253521127	22.5352112676056	20	40	20	20	1.85930194628683	5.70902394106814	8.31099195710456	1.34633240482823	0.513840543676446	4.51277955271565	1.04868913857678	0.715630885122411	1.90239867659222	15.2671755725191	1.36986301369863	8.45070422535211	20
10	Ovary-AdenoCA	7545	290	3.70134014039566	21.0205434062293	14.5924453280318	24.8508946322068	16.1696487740225	15.1225977468522	8.24387011265739	37.8109452736318	37.8109452736318	22.8855721393035	1.49253731343284	22.3684210526316	46.0526315789474	27.6315789473684	3.94736842105263	52.6315789473684	32.8947368421053	14.4736842105263	0	26.0869565217391	8.69565217391304	32.6086956521739	32.6086956521739	33.3333333333333	66.6666666666667	0	0	1.51093439363817	4.48275862068965	10.2362204724409	1.0718789407314	0.544959128065395	3.94666666666667	0.573770491803279	0.7011393514461	0.321543408360129	0	2.63157894736842	21.7391304347826	0
11	Ovary-AdenoCA	9246	646	6.53052972098666	23.7616266493619	15.4769630110318	24.9945922561107	15.4228855721393	13.7140385031365	6.62989400821977	41.3953488372093	30.6976744186047	26.046511627907	1.86046511627907	23.5955056179775	39.3258426966292	25.8426966292135	11.2359550561798	56.0606060606061	39.3939393939394	4.54545454545455	0	26.7857142857143	12.5	28.5714285714286	32.1428571428571	75	25	0	0	1.66558511788882	2.47678018575851	9.41176470588235	0.955848884842968	0.279524807826695	4.41367373431415	0.841514726507714	0.867507886435331	0.65252854812398	8.98876404494382	1.51515151515152	10.7142857142857	0
12	Ovary-AdenoCA	4135	249	5.67974452554745	13.8089480048368	9.96372430471584	39.5163240628779	11.7291414752116	18.403869407497	6.57799274486094	35.4330708661417	17.3228346456693	41.7322834645669	5.51181102362205	26.6666666666667	42.2222222222222	20	11.1111111111111	40.9090909090909	50	9.09090909090909	0	13.2075471698113	18.8679245283019	50.9433962264151	16.9811320754717	42.8571428571429	28.5714285714286	28.5714285714286	0	2.39419588875453	2.81124497991968	6.60377358490566	0.700525394045534	0.485436893203884	4.71236230110159	1.85567010309278	0.657030223390276	0.735294117647059	4.44444444444444	0	7.54716981132075	0
13	Ovary-AdenoCA	4916	409	7.68075117370892	18.4703010577705	12.1236777868186	43.26688364524	8.15703824247356	13.079739625712	4.90235964198535	28.6821705426357	11.6279069767442	55.8139534883721	3.87596899224806	18.9189189189189	21.6216216216216	37.8378378378378	21.6216216216216	53.3333333333333	33.3333333333333	13.3333333333333	0	8.33333333333333	4.86111111111111	48.6111111111111	38.1944444444444	30	50	20	0	3.07160292921074	11.4914425427873	23.7373737373737	1.54185022026432	0.671140939597315	5.31264692054537	2.24438902743142	1.24416796267496	1.2448132780083	21.6216216216216	0	19.4444444444444	10
14	Ovary-AdenoCA	6466	416	6.04475443185121	19.9350448499845	12.8054438601918	31.3949891741417	13.2384781936282	15.5583049798948	7.06773894215899	38.3802816901408	20.4225352112676	37.3239436619718	3.87323943661972	14.6788990825688	37.6146788990826	33.9449541284404	13.7614678899083	51.7241379310345	41.3793103448276	6.89655172413793	0	13.2075471698113	9.43396226415094	33.0188679245283	44.3396226415094	36.3636363636364	36.3636363636364	27.2727272727273	0	1.94865450046397	7.45192307692308	19.7452229299363	1.86190845616757	0.241545893719807	3.94088669950739	1.4018691588785	0.695825049701789	0.218818380743982	9.1743119266055	0	16.0377358490566	9.09090909090909
15	Ovary-AdenoCA	6805	620	8.35016835016835	20.5584129316679	14.5187362233652	25.8633357825129	15.0918442321822	16.6642174871418	7.30345334313005	38.9473684210526	35.2631578947368	22.6315789473684	3.15789473684211	25.6756756756757	41.8918918918919	24.3243243243243	8.10810810810811	44.7761194029851	49.2537313432836	5.97014925373134	0	13.953488372093	11.6279069767442	41.8604651162791	32.5581395348837	66.6666666666667	33.3333333333333	0	0	1.77810433504776	2.25806451612903	10.3703703703704	1.14367405289492	0.404858299595142	4.77272727272727	0.584225900681597	0.440917107583774	1.20724346076459	5.40540540540541	0	18.6046511627907	0
