sample_id	tumor_type	cluster	num_ssms	num_sims	num_mutations	num_late_median_cancer_clines_ssm	perc_late_median_cancer_clines_ssm	num_early_median_cancer_clines_ssm	perc_early_median_cancer_clines_ssm	num_withReplTime_median_cancer_clines_ssm	num_late_median_cancer_clines_sim	perc_late_median_cancer_clines_sim	num_early_median_cancer_clines_sim	perc_early_median_cancer_clines_sim	num_withReplTime_median_cancer_clines_sim	num_ssm_CDS	perc_ssm_CDS	num_ssm_gene	num_ssm_transcript	num_ssm_exon	num_ssm_UTR	num_ssm_stop_codon	num_ssm_start_codon	num_ssm_intergenic	num_ssm_Selenocyste	num_sim_CDS	perc_sim_CDS	num_sim_gene	num_sim_transcript	num_sim_exon	num_sim_UTR	num_sim_stop_codon	num_sim_start_codon	num_sim_intergenic	num_sim_Selenocyste	num_genes_with_non_syn_ssm	num_genes_with_non_syn_sim	num_genes_with_non_syn_mut	perc_syn_ssms_vs_in_CDS	num_drivers	num_SBS_sign_nonZeroContr	num_DBS_sign_nonZeroContr	num_ID_sign_nonZeroContr	num_allTypes_sign_nonZeroContr
1	Bladder-TCC	E	25389	645	26034	13413	52.8299657331915	11976	47.1700342668085	25389	419	64.9612403100775	226	35.0387596899225	645	354	1.39430462011107	13236	13229	1134	465	3	0	12153	0	7	1.08527131782946	320	320	27	14	0	0	325	0	237	7	242	27.5862068965517	16	4	1	5	10
2	Breast-AdenoCA	D	9145	684	9829	6378	69.7430289775834	2767	30.2569710224166	9145	433	63.3040935672515	251	36.6959064327485	684	83	0.907599781301258	4093	4093	245	94	1	0	5052	0	7	1.0233918128655	351	351	22	14	0	0	333	0	61	5	66	28.2352941176471	11	6	3	4	13
3	Bladder-TCC	E	13582	507	14089	7994	58.9006778661951	5578	41.0993221338049	13572	288	56.8047337278106	219	43.1952662721894	507	151	1.11176557208069	6764	6761	497	197	0	0	6818	0	12	2.36686390532544	268	268	32	11	0	0	239	0	106	9	115	22.972972972973	9	5	3	5	13
4	Breast-AdenoCA	E	7876	462	8338	4038	51.2696800406298	3838	48.7303199593702	7876	250	54.1125541125541	212	45.8874458874459	462	100	1.26968004062976	4093	4093	302	120	1	0	3783	0	3	0.649350649350649	232	232	15	9	0	0	230	0	69	4	73	24.468085106383	5	4	3	4	11
5	Ovary-AdenoCA	D	6575	415	6990	3359	51.0874524714829	3216	48.9125475285171	6575	212	51.0843373493976	203	48.9156626506024	415	88	1.33840304182509	3327	3327	272	123	1	0	3248	0	2	0.481927710843373	207	207	7	4	0	0	208	0	62	2	64	25.3012048192771	6	6	1	3	10
6	Ovary-AdenoCA	K	7280	409	7689	4005	55.0212941338096	3274	44.9787058661904	7279	246	60.1466992665037	163	39.8533007334963	409	79	1.08516483516484	3622	3620	262	112	0	1	3658	0	2	0.488997555012225	219	219	11	4	0	0	190	0	65	2	66	15.7894736842105	7	3	4	5	12
7	Ovary-AdenoCA	K	6002	349	6351	4069	67.7940686437854	1933	32.2059313562146	6002	229	65.6160458452722	120	34.3839541547278	349	64	1.06631122959014	2749	2749	180	69	0	1	3253	0	2	0.573065902578797	159	159	9	5	0	0	190	0	42	1	43	30	7	5	3	5	13
8	Ovary-AdenoCA	D	6505	688	7193	3319	51.0222905457341	3186	48.9777094542659	6505	360	52.3255813953488	328	47.6744186046512	688	95	1.46041506533436	3310	3308	268	85	0	1	3195	0	9	1.30813953488372	347	346	29	13	1	1	341	0	71	9	80	25	8	5	3	3	11
9	Ovary-AdenoCA	E	18394	543	18937	10532	57.2578014569968	7862	42.7421985430032	18394	337	62.0626151012891	206	37.9373848987109	543	199	1.0818745243014	9130	9125	671	262	0	1	9264	0	2	0.368324125230203	244	244	19	7	0	0	299	0	144	2	146	22.8723404255319	5	5	4	6	15
10	Ovary-AdenoCA	D	7545	290	7835	4175	55.3346587143804	3370	44.6653412856196	7545	174	60	116	40	290	75	0.99403578528827	3640	3639	287	113	1	0	3905	0	4	1.37931034482759	150	150	8	6	0	0	140	0	56	3	59	19.4444444444444	4	3	1	5	9
11	Ovary-AdenoCA	D	9246	646	9892	4833	52.2769064359113	4412	47.7230935640887	9245	340	52.6315789473684	306	47.3684210526316	646	107	1.15725719229937	4681	4681	345	128	1	0	4565	0	11	1.70278637770898	331	331	36	12	0	0	315	0	78	9	86	23.0769230769231	7	3	2	4	9
12	Ovary-AdenoCA	D	4135	249	4384	2518	60.8948004836759	1617	39.1051995163241	4135	142	57.0281124497992	107	42.9718875502008	249	45	1.08827085852479	2011	2010	148	69	0	0	2124	0	1	0.401606425702811	133	133	7	1	0	0	116	0	24	1	25	34.7826086956522	5	5	1	6	12
13	Ovary-AdenoCA	K	4916	409	5325	2578	52.4410089503662	2338	47.5589910496338	4916	225	55.0122249388753	184	44.9877750611247	409	70	1.42392188771359	2488	2487	215	84	0	1	2428	0	4	0.97799511002445	211	210	17	10	1	0	198	0	51	3	54	23.8805970149254	7	5	3	5	13
14	Ovary-AdenoCA	D	6466	416	6882	4044	62.5425301577482	2422	37.4574698422518	6466	249	59.8557692307692	167	40.1442307692308	416	62	0.958861738323538	3108	3107	204	75	0	0	3358	0	5	1.20192307692308	212	212	15	5	0	0	204	0	48	5	53	20	9	4	3	5	12
15	Ovary-AdenoCA	D	6805	620	7425	3750	55.1065393093314	3055	44.8934606906686	6805	355	57.258064516129	265	42.741935483871	620	66	0.969875091844232	3364	3363	237	99	0	0	3441	0	12	1.93548387096774	283	283	26	11	0	1	337	0	53	11	64	18.75	8	4	1	4	9
16	Ovary-AdenoCA	D	17299	1441	18740	10016	57.8993005376033	7283	42.1006994623967	17299	846	58.7092297015961	595	41.2907702984039	1441	171	0.988496444881207	8292	8291	535	216	0	0	9007	0	18	1.24913254684247	711	711	54	20	0	1	730	0	124	17	141	25.5952380952381	6	5	1	3	9
17	Ovary-AdenoCA	D	6000	534	6534	3229	53.8166666666667	2771	46.1833333333333	6000	311	58.2397003745318	223	41.7602996254682	534	64	1.06666666666667	3004	3002	221	87	0	1	2996	0	3	0.561797752808989	255	255	10	5	0	0	279	0	40	3	43	30.3571428571429	6	4	2	3	9
18	Ovary-AdenoCA	E	5584	265	5849	3326	59.5630372492837	2258	40.4369627507163	5584	174	65.6603773584906	91	34.3396226415094	265	49	0.877507163323782	2735	2734	188	99	0	0	2849	0	2	0.754716981132076	121	121	8	2	0	0	144	0	35	2	37	20.9302325581395	5	5	4	6	15
19	Ovary-AdenoCA	K	3771	166	3937	2084	55.2638557411827	1687	44.7361442588173	3771	89	53.6144578313253	77	46.3855421686747	166	54	1.43198090692124	1908	1908	150	47	0	1	1863	0	4	2.40963855421687	94	94	8	0	0	0	72	0	36	4	40	30.7692307692308	2	5	2	5	12
20	Ovary-AdenoCA	D	10119	504	10623	5741	56.7348552228481	4378	43.2651447771519	10119	287	56.9444444444444	217	43.0555555555556	504	123	1.21553513193003	5025	5023	395	152	1	0	5094	0	6	1.19047619047619	270	270	18	11	0	0	234	0	90	5	95	24.7933884297521	7	5	4	6	15
21	Ovary-AdenoCA	D	7212	481	7693	3772	52.3017193566278	3440	47.6982806433722	7212	221	45.9459459459459	260	54.0540540540541	481	88	1.22018857459789	3630	3629	280	103	0	0	3582	0	8	1.66320166320166	235	235	19	10	0	0	246	0	62	8	69	25	9	4	2	5	11
22	Ovary-AdenoCA	D	7241	423	7664	4377	60.447452009391	2864	39.552547990609	7241	241	57.1090047393365	181	42.8909952606635	422	85	1.17387101229112	3656	3656	279	108	0	0	3585	0	5	1.18203309692671	214	214	14	6	0	0	209	0	59	6	65	29.2682926829268	9	3	2	6	11
23	Ovary-AdenoCA	D	6751	407	7158	4492	66.5382906236113	2259	33.4617093763887	6751	259	63.6363636363636	148	36.3636363636364	407	51	0.755443637979559	3083	3082	202	77	0	0	3668	0	3	0.737100737100737	204	204	12	9	0	0	203	0	39	3	42	24	7	3	1	6	10
24	Ovary-AdenoCA	D	7164	331	7495	4437	61.9433198380567	2726	38.0566801619433	7163	216	65.2567975830816	115	34.7432024169184	331	79	1.10273590173088	3556	3556	239	86	0	1	3608	0	2	0.604229607250755	163	163	12	2	0	0	168	0	59	3	62	23.6842105263158	7	3	3	6	12
