tumor_type	num_samples	num_ssms	rec_ssms_pancancer	rec_ssms_within	rec_ssms_pancancer_perc	rec_ssms_within_perc	median_ssms	num_sims	median_sims	rec_sims_pancancer	rec_sims_within	rec_sims_pancancer_perc	rec_sims_within_perc
Biliary-AdenoCA	34	453075	11955	115	2.6386359874193	0.0253821111295039	6281.5	147587	474	41694	387	28.2504556634392	0.262218217051637
Bladder-TCC	23	509415	10034	174	1.96971035403355	0.0341568269485586	15499	16663	645	1602	9	9.61411510532317	0.0540118826141751
Bone-Benign	16	10401	316	3	3.03816940678781	0.0288433804441881	654	434	26.5	37	1	8.52534562211982	0.230414746543779
Bone-Epith	10	23631	668	1	2.82679531124371	0.00423172950784986	1802.5	1791	114	143	0	7.98436627582356	0
Bone-Osteosarc	35	157035	3493	40	2.22434489126628	0.025472028528672	3703	7577	161	609	7	8.03748185297611	0.0923848488847829
Breast-AdenoCA	195	1410798	30842	1070	2.1861386250902	0.0758436005721584	5203	89559	320	5938	153	6.63026608157751	0.170837101798814
Breast-DCIS	3	6116	178	0	2.91039895356442	0	2128	696	210	46	0	6.60919540229885	0
Breast-LobularCA	13	97648	2333	6	2.38919383909553	0.00614451908897264	2923	2992	200	230	0	7.68716577540107	0
Cervix-AdenoCA	2	8205	353	0	4.30225472273004	0	4102.5	753	376.5	143	0	18.9907038512616	0
Cervix-SCC	18	114855	3427	24	2.9837621348657	0.0208959122371686	6548.5	6528	315.5	1083	6	16.5900735294118	0.0919117647058823
CNS-GBM	39	510528	14774	274	2.89386674188291	0.0536699260373574	6976	20035	422	1622	29	8.0958322934864	0.144746693286748
CNS-Medullo	141	200625	7123	92	3.55040498442368	0.0458566978193146	1142	23531	112	3804	70	16.1659088011559	0.297479920105393
CNS-Oligo	18	48357	1548	8	3.20119114088963	0.0165436234671299	2442	4144	183.5	339	3	8.18050193050193	0.0723938223938224
CNS-PiloAstro	89	22122	930	13	4.20395985896393	0.0587650302865925	172	1019	10	138	9	13.5426889106968	0.883218842001963
ColoRect-AdenoCA	52	8760730	297037	134314	3.39055078743438	1.53313707875942	17568	330091	1560.5	75487	10281	22.8685423110597	3.11459567210254
Eso-AdenoCA	97	2674847	110434	34463	4.12860997283209	1.2884101408417	22981	149410	1574	32384	3522	21.674586707717	2.35727193628271
Head-SCC	56	889141	19334	337	2.17445826927338	0.0379017501161233	9524	38294	523.5	4211	63	10.9965007572988	0.164516634459706
Kidney-ChRCC	43	79360	2616	4	3.29637096774194	0.00504032258064516	1705	5633	116	187	7	3.31972306053613	0.124267708148411
Kidney-RCC	143	921954	12888	173	1.39790054601423	0.0187644936732201	5576	128182	723	5811	47	4.53339782496762	0.0366666146572842
Liver-HCC	314	3841189	50986	3614	1.32734942227524	0.0940854511454656	11080.5	228019	587.5	24311	1195	10.6618308123446	0.524079133756397
Lung-AdenoCA	37	1337727	19085	463	1.42667375331439	0.0346109482727044	21117	44428	599	1232	9	2.77302601962726	0.0202574952732511
Lung-SCC	47	2143198	28194	1113	1.31551074609066	0.0519317393913208	43797	81510	1638	4276	67	5.24598208808735	0.0821985032511348
Lymph-BNHL	107	1273441	37287	5645	2.92805084805656	0.443287125198576	7527	91786	503	19145	1180	20.858300830192	1.28559911097553
Lymph-CLL	90	219206	6836	345	3.11852777752434	0.157386202932401	2286	11760	118.5	1813	7	15.4166666666667	0.0595238095238095
Myeloid-AML	13	19481	635	2	3.25958626353883	0.0102664134284688	1532	929	76	86	0	9.25726587728741	0
Myeloid-MDS	2	1630	68	0	4.17177914110429	0	815	64	32	5	0	7.8125	0
Myeloid-MPN	23	24274	749	3	3.08560599818736	0.0123589025294554	1073	793	30	51	0	6.4312736443884	0
Ovary-AdenoCA	110	981373	16834	288	1.71535185907907	0.029346639860685	7355	87706	527	8704	112	9.92406448817641	0.127699359222858
Panc-AdenoCA	232	1503148	55623	3704	3.70043402246485	0.246416187893674	5045	170302	528.5	28938	2556	16.9921668565255	1.50086317248183
Panc-Endocrine	81	254757	5347	31	2.09886283792006	0.0121684585703239	2174	12277	113	1127	9	9.17976704406614	0.0733078113545654
Prost-AdenoCA	199	640425	23118	2982	3.60979037358004	0.465628293711207	2929	58039	244	6354	366	10.9478109547029	0.630610451592894
Skin-Melanoma	107	12025804	625225	473106	5.19902868864319	3.93409039428881	73124	106815	556	11458	192	10.7269578242756	0.179750035107429
SoftTissue-Leiomyo	15	84442	1716	4	2.03216408896047	0.00473697922834608	4087	4110	225	329	0	8.00486618004866	0
SoftTissue-Liposarc	19	100943	2117	12	2.09722318536204	0.0118878971300635	5044	4842	232	356	27	7.35233374638579	0.557620817843866
Stomach-AdenoCA	68	1547037	57574	4164	3.72156580611841	0.269159690427572	11469	299821	766.5	76345	14436	25.4635265708539	4.81487287414824
Thy-AdenoCA	48	65489	1786	17	2.72717555620028	0.0259585579257585	1136	4138	72.5	334	7	8.07153214113098	0.169163847269212
Uterus-AdenoCA	44	889065	37591	633	4.22814979782131	0.0711983938182248	6902.5	192680	511.5	54591	5446	28.3324683412913	2.82644799667843
