file_name	c_a	c_g	c_t	t_a	t_c	t_g
summary-mt-1000.txt	27867	2963	156232	3679	12624	7046
summary-mt-1001.txt	27975	3052	156351	3780	12319	7076
summary-mt-1002.txt	27493	2853	156185	3613	12304	7081
summary-mt-1003.txt	28344	2929	156027	3734	12225	7307
summary-mt-1004.txt	28273	3000	155870	3639	12367	7191
summary-mt-1005.txt	27941	3046	156168	3783	12576	7148
summary-mt-1006.txt	28205	2913	156331	3705	12179	7288
summary-mt-1007.txt	28063	2926	155837	3646	12576	7108
summary-mt-1008.txt	28116	3013	156563	3669	12640	7123
summary-mt-1009.txt	27924	3072	156274	3798	12410	7178
summary-mt-100.txt	27956	2925	156051	3808	12365	7137
summary-mt-1010.txt	28000	2944	155242	3749	12360	7212
summary-mt-1011.txt	28021	2964	156796	3711	12499	7097
summary-mt-1012.txt	27943	2955	155959	3695	12316	7144
summary-mt-1013.txt	27822	2931	156349	3699	12168	7119
summary-mt-1014.txt	28105	2987	156343	3644	12428	7289
summary-mt-1015.txt	28102	3001	156008	3743	12337	7146
summary-mt-1016.txt	28053	2947	156340	3773	12364	7287
summary-mt-1017.txt	28381	3068	155723	3695	12332	7146
summary-mt-1018.txt	27985	2892	156428	3765	12452	7255
summary-mt-1019.txt	27793	3058	156008	3702	12409	7209
summary-mt-101.txt	28036	2921	156041	3800	12408	7213
summary-mt-1020.txt	27926	2975	155715	3705	12316	7121
summary-mt-1021.txt	27740	2965	156565	3688	12457	7116
summary-mt-1022.txt	28169	3028	156262	3828	12357	7094
summary-mt-1023.txt	28234	2981	156723	3584	12364	7103
summary-mt-1024.txt	28028	2972	155528	3549	12383	7059
summary-mt-1025.txt	28101	2928	155575	3705	12298	7124
summary-mt-1026.txt	28255	2940	156243	3774	12470	7214
summary-mt-1027.txt	28052	2973	156168	3713	12426	7070
summary-mt-1028.txt	28016	3016	156196	3791	12544	7166
summary-mt-1029.txt	27961	3028	155739	3698	12458	7190
summary-mt-102.txt	27618	3043	156293	3829	12209	7146
summary-mt-1030.txt	27978	2943	156192	3636	12377	7145
summary-mt-1031.txt	28119	2893	156306	3644	12287	7051
summary-mt-1032.txt	27750	3007	156439	3714	12359	7213
summary-mt-1033.txt	27805	2966	156627	3692	12378	7037
summary-mt-1034.txt	27700	2902	156671	3603	12488	7110
summary-mt-1035.txt	27809	3018	155925	3609	12341	7180
summary-mt-1036.txt	28318	3012	156597	3737	12366	7125
summary-mt-1037.txt	27834	2931	156172	3654	12229	7111
summary-mt-1038.txt	28192	2932	155872	3704	12368	7070
summary-mt-1039.txt	28167	2979	156377	3681	12416	7078
summary-mt-103.txt	27805	2964	156584	3673	12601	7199
summary-mt-1040.txt	28069	2961	156403	3772	12610	7146
summary-mt-1041.txt	28101	2945	155637	3675	12391	7071
summary-mt-1042.txt	27751	2996	156251	3727	12521	7184
summary-mt-1043.txt	27950	2950	156445	3689	12215	7173
summary-mt-1044.txt	28022	3007	156504	3768	12308	7037
summary-mt-1045.txt	27628	2921	156618	3635	12451	7115
summary-mt-1046.txt	27937	2915	156616	3629	12454	7122
summary-mt-1047.txt	28111	3036	155803	3713	12447	7155
summary-mt-1048.txt	27881	3007	155841	3731	12203	7077
summary-mt-1049.txt	28181	2965	155495	3823	12208	7142
summary-mt-104.txt	27847	2984	156509	3712	12330	7116
summary-mt-1050.txt	28084	2980	156154	3658	12402	7006
summary-mt-1051.txt	27894	2957	156559	3686	12403	7165
summary-mt-1052.txt	28104	2978	156038	3710	12284	7223
summary-mt-1053.txt	27947	2939	156477	3697	12510	7312
summary-mt-1054.txt	27972	2999	155812	3644	12427	7141
summary-mt-1055.txt	28264	3001	156627	3765	12435	7151
summary-mt-1056.txt	27973	3001	156036	3690	12192	7188
summary-mt-1057.txt	28096	2980	156245	3729	12313	7187
summary-mt-1058.txt	28009	2902	156287	3719	12339	7161
summary-mt-1059.txt	27662	3017	156127	3802	12493	7267
summary-mt-105.txt	28035	3011	156646	3559	12528	7118
summary-mt-1060.txt	27923	2979	156733	3701	12462	7206
summary-mt-1061.txt	28027	3021	155943	3800	12506	7113
summary-mt-1062.txt	27882	2992	156474	3671	12444	7184
summary-mt-1063.txt	27787	2946	156179	3564	12370	7237
summary-mt-1064.txt	28035	2954	156616	3665	12479	7285
summary-mt-1065.txt	27998	3046	156171	3738	12463	7113
summary-mt-1066.txt	28317	3069	155778	3639	12286	7306
summary-mt-1067.txt	27907	2904	156384	3743	12385	7100
summary-mt-1068.txt	27922	2991	155835	3586	12484	7079
summary-mt-1069.txt	28300	3001	156395	3656	12125	7170
summary-mt-106.txt	28133	2899	155938	3700	12377	7258
summary-mt-1070.txt	28191	3023	156597	3725	12224	7197
summary-mt-1071.txt	27914	3016	156065	3714	12572	7201
summary-mt-1072.txt	28063	3002	156244	3702	12300	7181
summary-mt-1073.txt	28037	2932	156675	3692	12351	7108
summary-mt-1074.txt	27860	3004	156701	3611	12194	7208
summary-mt-1075.txt	27796	2963	156153	3669	12300	7210
summary-mt-1076.txt	28024	2988	156399	3731	12383	6978
summary-mt-1077.txt	27904	3055	156328	3722	12437	7169
summary-mt-1078.txt	27484	3001	156367	3860	12288	7092
summary-mt-1079.txt	27918	2963	156510	3784	12229	7227
summary-mt-107.txt	28495	3002	156440	3686	12318	7225
summary-mt-1080.txt	28120	2987	155478	3652	12422	7034
summary-mt-1081.txt	28102	2936	155734	3706	12125	7124
summary-mt-1082.txt	27626	3009	156186	3691	12276	7096
summary-mt-1083.txt	27743	2993	156341	3757	12505	7249
summary-mt-1084.txt	28334	2961	156333	3609	12401	7192
summary-mt-1085.txt	28448	3001	156252	3755	12332	7300
summary-mt-1086.txt	27855	2940	156512	3715	12344	7058
summary-mt-1087.txt	28181	2961	156253	3577	12506	7263
summary-mt-1088.txt	28086	2974	156572	3713	12273	7107
summary-mt-1089.txt	28015	2976	155997	3757	12336	7058
summary-mt-108.txt	28110	3037	156238	3722	12337	7112
summary-mt-1090.txt	27997	2999	156509	3821	12371	7213
summary-mt-1091.txt	28288	2984	156154	3666	12285	7078
summary-mt-1092.txt	28238	2979	156092	3676	12381	7246
summary-mt-1093.txt	28245	2915	155727	3796	12262	7158
summary-mt-1094.txt	27855	3009	155794	3731	12458	7060
summary-mt-1095.txt	28063	2941	155941	3647	12681	7208
summary-mt-1096.txt	28098	2981	156425	3747	12448	7041
summary-mt-1097.txt	28071	2922	156406	3746	12322	7087
summary-mt-1098.txt	28136	3007	156228	3831	12476	7097
summary-mt-1099.txt	28285	3046	155420	3724	12268	7042
summary-mt-109.txt	28098	3015	156180	3594	12443	7123
summary-mt-10.txt	28240	2986	156711	3773	12402	6954
summary-mt-1100.txt	28058	3058	156563	3752	12530	7248
summary-mt-1101.txt	27923	2982	155713	3633	12264	7089
summary-mt-1102.txt	28043	2982	156658	3648	12413	7119
summary-mt-1103.txt	27999	2955	156056	3665	12282	7224
summary-mt-1104.txt	28134	2970	155756	3784	12610	6967
summary-mt-1105.txt	28349	3011	156216	3826	12322	7059
summary-mt-1106.txt	28065	3093	155407	3655	12631	7332
summary-mt-1107.txt	28152	3002	156401	3777	12321	7124
summary-mt-1108.txt	28124	2920	156759	3736	12284	7236
summary-mt-1109.txt	27954	2982	156059	3726	12328	7223
summary-mt-110.txt	28009	2957	155469	3668	12274	7111
