file_name	Biliary-AdenoCA	Bladder-TCC	Bone-Benign	Bone-Epith	Bone-Osteosarc	Breast-AdenoCA	Breast-DCIS	Breast-LobularCA	Cervix-AdenoCA	Cervix-SCC	CNS-GBM	CNS-Medullo	CNS-Oligo	CNS-PiloAstro	ColoRect-AdenoCA	Eso-AdenoCA	Head-SCC	Kidney-ChRCC	Kidney-RCC	Liver-HCC	Lung-AdenoCA	Lung-SCC	Lymph-BNHL	Lymph-CLL	Myeloid-AML	Myeloid-MDS	Myeloid-MPN	Ovary-AdenoCA	Panc-AdenoCA	Panc-Endocrine	Prost-AdenoCA	Skin-Melanoma	SoftTissue-Leiomyo	SoftTissue-Liposarc	Stomach-AdenoCA	Thy-AdenoCA	Uterus-AdenoCA
summary-tt-1000.txt	3935	4447	85	204	1144	11666	62	984	95	1145	6264	1871	464	217	56971	16085	7448	679	6535	25156	9742	14814	9108	1719	171	17	244	7027	12998	2133	5522	133137	662	837	11216	576	6821
summary-tt-1001.txt	3720	4503	85	203	1152	11436	51	911	80	1073	6353	1894	455	239	56722	16069	7573	699	6590	25272	9628	14847	9159	1743	208	18	229	7162	13301	2144	5508	133277	672	831	11217	537	6791
summary-tt-1002.txt	3823	4381	85	183	1180	11616	50	990	81	1019	6353	1864	452	236	55902	16067	7465	752	6686	25257	9566	14665	9206	1675	194	23	234	7090	13092	2207	5382	132932	642	786	11271	590	6676
summary-tt-1003.txt	3806	4509	71	192	1205	11700	59	958	104	1162	6398	1902	456	224	56601	16341	7366	741	6474	25543	9731	14894	9217	1793	236	18	245	6927	13249	2242	5578	132798	682	782	11271	583	6842
summary-tt-1004.txt	3811	4407	88	192	1163	11707	46	861	91	1107	6497	1980	441	207	56369	16291	7530	746	6586	25421	9966	14601	9110	1858	190	16	260	7025	13240	2170	5461	132726	615	790	11248	565	6885
summary-tt-1005.txt	3826	4517	95	177	1144	11492	57	960	107	1058	6293	1884	467	218	56466	16084	7598	682	6584	25536	9804	14816	9206	1694	193	18	253	7019	13389	2196	5644	132858	715	879	11246	644	6908
summary-tt-1006.txt	3836	4314	79	170	1146	11700	52	899	79	1153	6451	1880	419	216	56907	16308	7497	706	6462	25278	9736	15065	9196	1752	197	23	240	6951	13307	2192	5625	132722	700	841	11261	639	6772
summary-tt-1007.txt	3774	4454	81	196	1218	11598	55	967	87	1065	6280	1913	471	212	56516	15995	7540	733	6330	25414	9711	14955	9224	1740	176	29	237	7116	13429	2161	5472	132584	653	847	11178	588	6849
summary-tt-1008.txt	3834	4559	99	187	1187	11662	62	949	82	1095	6307	1988	410	228	56829	16307	7443	747	6488	25343	9608	14995	9279	1809	185	14	265	7110	13221	2033	5541	133446	661	843	11325	584	6777
summary-tt-1009.txt	3833	4426	82	220	1140	11628	54	942	97	1126	6503	1871	480	209	56424	15960	7428	719	6415	25681	9876	14890	9236	1746	177	19	247	7234	13324	2116	5629	133029	636	845	11238	571	6810
summary-tt-100.txt	3853	4393	88	181	1096	11605	61	901	74	1113	6427	1851	459	245	56508	16133	7359	700	6535	25318	9745	14722	9040	1826	178	18	254	6920	13485	2114	5618	132898	666	818	11317	620	6800
summary-tt-1010.txt	3754	4429	85	197	1226	11547	57	909	88	1077	6394	1862	481	206	56341	15956	7456	680	6534	25370	9768	14991	9039	1759	197	21	279	6841	13121	2161	5584	132263	629	854	11285	585	6960
summary-tt-1011.txt	3840	4435	89	188	1219	11638	46	906	91	1133	6579	1829	446	216	56495	16224	7412	674	6400	25597	9605	14791	9300	1741	190	11	269	7198	13287	2119	5561	133651	638	841	11299	603	6936
summary-tt-1012.txt	3798	4453	85	181	1221	11620	53	905	84	1101	6466	1863	458	196	56571	15975	7426	732	6634	25264	9808	14895	9150	1752	185	14	251	6944	13266	2103	5526	132672	675	788	11236	607	6768
summary-tt-1013.txt	3782	4460	98	201	1124	11617	44	898	89	1077	6504	1880	459	231	56112	16108	7475	724	6469	25074	9822	14704	9199	1774	195	12	259	7102	13363	2057	5471	133094	693	843	11199	623	6832
summary-tt-1014.txt	3851	4526	91	216	1120	11717	50	901	80	1130	6349	1917	441	230	56607	16327	7616	711	6471	25352	9819	15081	9096	1608	190	13	251	7216	13340	2068	5565	132934	654	804	11329	617	6814
summary-tt-1015.txt	3841	4441	81	219	1170	11622	54	924	97	1051	6416	1884	450	196	56562	16115	7515	744	6323	25556	9710	14931	9274	1733	189	16	233	7060	13354	2126	5519	132788	645	780	11342	601	6765
summary-tt-1016.txt	3797	4401	103	209	1168	11844	55	968	96	1102	6517	1923	475	227	56660	16191	7484	679	6552	25387	9644	14836	9064	1774	186	15	254	7060	13408	2160	5583	132790	677	798	11266	619	6833
summary-tt-1017.txt	3764	4470	93	218	1192	11866	63	934	96	1091	6487	1947	395	213	56807	15943	7586	682	6590	25482	9761	14955	9147	1695	166	11	241	6983	13143	2170	5620	132349	630	837	11200	613	6824
summary-tt-1018.txt	3768	4547	70	200	1218	11669	58	945	102	1131	6337	1932	438	236	57086	16314	7403	717	6580	25396	9634	14936	9065	1820	211	9	266	7044	13123	2117	5628	132708	675	851	11198	598	6793
summary-tt-1019.txt	3701	4424	90	182	1201	11619	58	925	99	1135	6381	1873	475	210	56419	16058	7452	747	6485	25336	9652	14861	9218	1744	210	16	273	7013	13252	2117	5492	132740	660	817	11398	591	6738
summary-tt-101.txt	3765	4465	85	204	1149	11688	58	961	88	1115	6505	1868	447	227	56679	16258	7537	749	6679	25152	9710	14844	9025	1837	226	17	226	6936	13360	2109	5681	132416	631	841	11335	631	6943
summary-tt-1020.txt	3814	4479	101	177	1148	11677	58	921	98	1105	6256	1902	469	198	56296	16207	7528	712	6470	25229	9783	15044	9374	1790	196	26	244	6849	13253	2074	5602	132370	657	863	11278	588	6769
summary-tt-1021.txt	3830	4390	88	191	1163	11530	52	933	83	1118	6345	1852	444	216	56333	16364	7492	737	6435	25717	9633	15026	9127	1747	191	20	244	6955	13349	2197	5530	133136	666	860	11091	585	6685
summary-tt-1022.txt	3839	4432	79	189	1161	11598	54	946	103	1103	6457	1916	441	200	56716	16113	7636	712	6450	25428	9947	14746	9222	1725	195	19	227	7080	13164	2248	5538	133102	654	842	11353	571	6828
summary-tt-1023.txt	3786	4398	72	218	1147	11719	46	847	100	1119	6425	1929	454	224	57018	16340	7410	695	6549	25372	9722	15003	9107	1767	198	14	246	6995	13228	2119	5455	133376	652	840	11331	574	6782
summary-tt-1024.txt	3822	4335	77	191	1165	11472	60	905	70	1078	6370	1878	420	206	56670	15995	7467	734	6484	25241	9747	14918	9032	1768	216	16	268	7033	13329	2126	5395	132422	614	854	11396	591	6715
summary-tt-1025.txt	3796	4486	103	206	1115	11686	55	966	86	1148	6427	1882	475	210	56292	16216	7627	694	6455	25242	9715	14799	8981	1804	187	15	293	7037	13253	2178	5536	132335	682	806	11185	588	6783
summary-tt-1026.txt	3901	4471	82	196	1179	11691	57	964	92	1060	6392	1893	445	209	56870	16257	7405	692	6498	25399	9700	15050	9097	1755	196	24	261	7065	13189	2139	5710	132923	658	830	11258	605	6815
summary-tt-1027.txt	3865	4405	89	184	1160	11564	47	929	85	1103	6445	1828	456	207	56467	16272	7506	713	6431	25205	9815	14847	9279	1730	193	15	252	7101	13311	2147	5633	132924	646	794	11080	581	6679
summary-tt-1028.txt	3862	4400	72	183	1134	11784	53	943	95	1079	6528	1891	499	239	56750	16126	7372	675	6582	25519	9560	14864	9370	1782	178	13	239	7199	13272	2159	5507	133172	643	848	11175	628	6679
summary-tt-1029.txt	3959	4405	93	191	1157	11657	46	924	94	1123	6475	1921	433	219	56762	16196	7465	726	6585	25060	9707	14934	9081	1758	177	17	230	6989	13322	2104	5571	132508	617	872	11389	599	6857
summary-tt-102.txt	3841	4452	76	206	1178	11726	52	934	85	1080	6376	1887	414	229	56140	16219	7540	765	6493	25292	9722	14928	9136	1750	220	16	220	7004	13488	2141	5618	132609	675	822	11434	614	6863
summary-tt-1030.txt	3728	4558	86	209	1115	11579	50	914	98	1116	6459	1919	449	206	56490	16231	7428	724	6542	25303	9835	14794	8999	1733	144	16	235	7025	13351	2064	5659	132777	666	832	11310	602	6843
summary-tt-1031.txt	3824	4421	85	184	1175	11647	62	938	78	1123	6373	1826	451	231	56664	16080	7373	753	6460	25627	9689	14948	9151	1729	175	21	242	6961	13398	2164	5496	133237	640	839	11273	582	6736
summary-tt-1032.txt	3831	4447	98	228	1170	11586	46	967	70	1063	6396	1874	463	199	56412	15929	7564	712	6556	25563	9486	15207	9218	1819	188	18	261	6837	13366	2167	5634	132998	649	814	11278	579	6865
summary-tt-1033.txt	3729	4457	99	182	1189	11484	56	926	93	1171	6359	1927	413	236	56371	16222	7508	727	6570	25457	9685	14979	9187	1755	179	18	256	6899	13142	2144	5549	133343	656	803	11273	600	6811
summary-tt-1034.txt	3848	4495	94	180	1136	11605	61	939	95	1047	6354	1900	423	220	56527	15885	7532	754	6576	25227	9734	14819	9220	1645	201	13	256	6930	13244	2069	5627	133563	687	854	11390	635	6974
summary-tt-1035.txt	3826	4460	91	194	1242	11532	63	944	70	1095	6413	1858	427	210	56238	16116	7390	766	6339	25536	9730	14704	9247	1723	172	12	236	7080	13338	2132	5693	132602	662	831	11426	604	6696
